Date,Total Sales
2023-12-26,799868.6
2023-12-27,545133.14
2023-12-28,580826.56
2023-12-29,1098069.63
2023-12-30,388627.36
2023-12-31,862156.79
2024-01-01,941513.1299999999
2024-01-02,677621.5
2024-01-03,799514.19
2024-01-04,763479.45
2024-01-05,818727.01
2024-01-06,502761.83
2024-01-07,139265.44999999998
2024-01-08,688689.99
2024-01-09,433518.04000000004
2024-01-10,409212.04
2024-01-11,825471.51
2024-01-12,1499766.23
2024-01-13,782997.2
2024-01-14,805609.04
2024-01-15,416942.0
2024-01-16,673383.23
2024-01-17,455855.92000000004
2024-01-18,554197.1799999999
2024-01-19,779554.67
2024-01-20,966340.6499999999
2024-01-21,238252.5
2024-01-22,1118664.6
2024-01-23,462338.44
2024-01-24,819420.25
2024-01-25,780651.86
2024-01-26,817190.11
2024-01-27,421211.83
2024-01-28,948401.9900000001
2024-01-29,830865.0
2024-01-30,766425.31
2024-01-31,786958.8200000001
2024-02-01,704715.1
2024-02-02,981826.1599999999
2024-02-03,767802.75
2024-02-04,242122.42
2024-02-05,920046.1100000001
2024-02-06,518775.36
2024-02-07,1124582.43
2024-02-08,505787.54
2024-02-09,458919.36
2024-02-10,472414.82999999996
2024-02-11,393059.93
2024-02-12,914141.2999999999
2024-02-13,757655.4199999999
2024-02-14,1126002.8699999999
2024-02-15,445807.82999999996
2024-02-16,420621.12
2024-02-17,1125166.99
2024-02-18,737992.5
2024-02-19,644839.42
2024-02-20,1182954.1400000001
2024-02-21,161571.03999999998
2024-02-22,1134184.1600000001
2024-02-23,318078.02999999997
2024-02-24,720881.95
2024-02-25,473692.45
2024-02-26,1207185.26
2024-02-27,399417.4
2024-02-28,509520.95
2024-02-29,977469.23
2024-03-01,703640.34
2024-03-02,771254.58
2024-03-03,682466.9
2024-03-04,955756.3400000001
2024-03-05,488364.28
2024-03-06,859547.5
2024-03-07,1510775.18
2024-03-08,931676.7899999999
2024-03-09,748553.0800000001
2024-03-10,468327.75
2024-03-11,426484.17000000004
2024-03-12,1191199.21
2024-03-13,566822.49
2024-03-14,1143410.99
2024-03-15,1299081.46
2024-03-16,557050.88
2024-03-17,586272.1599999999
2024-03-18,491968.18
2024-03-19,352493.27
2024-03-20,539468.49
2024-03-21,602141.6699999999
2024-03-22,1087081.76
2024-03-23,1038293.0
2024-03-24,1099461.3699999999
2024-03-25,580640.98
2024-03-26,350466.58999999997
2024-03-27,304285.04000000004
2024-03-28,776832.6399999999
2024-03-29,1180641.8900000001
2024-03-30,1020635.01
2024-03-31,600307.45
2024-04-01,1596769.91
2024-04-02,828167.36
2024-04-03,606863.8999999999
2024-04-04,888263.5599999999
2024-04-05,513988.06999999995
2024-04-06,832000.55
2024-04-07,1067104.21
2024-04-08,569359.4299999999
2024-04-09,290451.84
2024-04-10,422983.04000000004
2024-04-11,741291.02
2024-04-12,509913.48000000004
2024-04-13,979752.4099999999
2024-04-14,926989.46
2024-04-15,931103.59
2024-04-16,319069.58
2024-04-17,291459.68
2024-04-18,633413.41
2024-04-19,276335.57
2024-04-20,934686.48
2024-04-21,817561.45
2024-04-22,181677.69
2024-04-23,1507416.31
2024-04-24,1414774.88
2024-04-25,746647.23
2024-04-26,283910.74
2024-04-27,1302178.47
2024-04-28,320370.58999999997
2024-04-29,650952.19
2024-04-30,335294.36000000004
2024-05-01,402435.95999999996
2024-05-02,968267.25
2024-05-03,1080687.6800000002
2024-05-04,691367.04
2024-05-05,544289.49
2024-05-06,1347385.33
2024-05-07,461613.67
2024-05-08,317156.07
2024-05-09,641832.86
2024-05-10,326906.23
2024-05-11,531947.39
2024-05-12,847307.44
2024-05-13,541899.53
2024-05-14,820056.54
2024-05-15,723075.1
2024-05-16,625859.6399999999
2024-05-17,969422.13
2024-05-18,411570.71
2024-05-19,822474.06
2024-05-20,603219.8
2024-05-21,644605.4
2024-05-22,605709.78
2024-05-23,268001.56
2024-05-24,762653.49
2024-05-25,252324.54
2024-05-26,668435.8
2024-05-27,518567.4
2024-05-28,1473910.3499999999
2024-05-29,495028.94
2024-05-30,868662.75
2024-05-31,757590.8300000001
2024-06-01,208523.93
2024-06-02,957417.6299999999
2024-06-03,959645.7
2024-06-04,545086.62
2024-06-05,680039.8
2024-06-06,917996.02
2024-06-07,369479.68
2024-06-08,1040447.8600000001
2024-06-09,1270972.7
2024-06-10,472866.09
2024-06-11,809232.28
2024-06-12,645209.44
2024-06-13,686806.25
2024-06-14,497100.92000000004
2024-06-15,649674.5900000001
2024-06-16,292671.30000000005
2024-06-17,758289.99
2024-06-18,823915.1799999999
2024-06-19,672627.98
2024-06-20,595915.03
2024-06-21,1357988.79
2024-06-22,526712.79
2024-06-23,533200.2
2024-06-24,784677.72
2024-06-25,643226.22
2024-06-26,654420.93
2024-06-27,901932.0800000001
2024-06-28,563989.1200000001
2024-06-29,747095.52
2024-06-30,776071.57
2024-07-01,981153.73
2024-07-02,1137227.96
2024-07-03,799278.6
2024-07-04,424792.30000000005
2024-07-05,712445.61
2024-07-06,249164.04
2024-07-07,649963.15
